Traffic light,Shipping Point/Receiving Pt,Originating document,STPO_Cut_Off,Plant,Description,Material,Open quantity,Unrestricted
,W001,6200021038,M_15th,GN03,AVANCER PRIME ANTI DUST 1.2MM MICA MATT,AVRPMAD48MMT,36,0
,W001,6200021038,M_15th,GN03,AVANCER PRIME ANTI DUST 1.2M ROAST BRN,AVRPMAD48RBN,192,0
,W001,6200021040,M_15th,GN02,AVANCER PRIME ANTI DUST 1.2M ROAST BRN,AVRPMAD48RBN,18,0
,W001,6200021038,M_15th,GN03,AVANCER PRIME ANTI DUST 1.2M SILKY SLV,AVRPMAD48SKS,102,0
,W001,6200021040,M_15th,GN02,AVANCER PRIME ANTI DUST 1.2M SILKY SLV,AVRPMAD48SKS,34,0
,W001,6200021038,M_15th,GN03,AVANCER PRIME 1.2MM HONEY WOOD,AVRPRIME48HWD,8,0
,W001,6200020906,M_25th,GW03,AVANCER PRIME 1.2MM NATURAL WOOD,AVRPRIME48NWD,60,272
,W001,6200020906,M_25th,GW01,AVANCER PRIME 1.2MM NATURAL WOOD,AVRPRIME48NWD,118,272
,W001,6200020906,M_25th,GW02,AVANCER PRIME 1.2MM NATURAL WOOD,AVRPRIME48NWD,88,272
,W001,6200020906,M_25th,GW04,AVANCER PRIME 1.2MM NATURAL WOOD,AVRPRIME48NWD,30,272
,W001,6200020906,M_25th,GS04,AVANCER PRIME 1.2MM NATURAL WOOD,AVRPRIME48NWD,18,272
,W001,6200020906,M_25th,GS05,AVANCER PRIME 1.2MM NATURAL WOOD,AVRPRIME48NWD,46,272
,W001,6200020906,M_25th,GS06,AVANCER PRIME 1.2MM NATURAL WOOD,AVRPRIME48NWD,22,272
,W001,6200020906,M_25th,GS07,AVANCER PRIME 1.2MM NATURAL WOOD,AVRPRIME48NWD,64,272
,W001,6200020906,M_25th,GS02,AVANCER PRIME 1.2MM NATURAL WOOD,AVRPRIME48NWD,38,272
,W001,6200020905,M_15th,GW04,AVANCER PRIME 1.2MM NATURAL WOOD,AVRPRIME48NWD,44,272
,W001,6200020905,M_15th,GS02,AVANCER PRIME 1.2MM NATURAL WOOD,AVRPRIME48NWD,34,272
,W001,6200020906,M_25th,GN03,AVANCER PRIME 1.2MM NATURAL WOOD,AVRPRIME48NWD,14,272
,W001,6200020906,M_25th,GN06,AVANCER PRIME 1.2MM NATURAL WOOD,AVRPRIME48NWD,146,272
,W001,6200020905,M_15th,GS05,AVANCER PRIME 1.2MM NATURAL WOOD,AVRPRIME48NWD,70,272
,W001,6200020905,M_15th,GS06,AVANCER PRIME 1.2MM NATURAL WOOD,AVRPRIME48NWD,22,272
,W001,6200020906,M_25th,GN01,AVANCER PRIME 1.2MM NATURAL WOOD,AVRPRIME48NWD,100,272
,W001,6200020906,M_25th,GN02,AVANCER PRIME 1.2MM NATURAL WOOD,AVRPRIME48NWD,16,272
,W001,6200020906,M_25th,GW02,AVANCER PRIME 1.2MM RIOBLACK,AVRPRIME48RBL,30,0
,W001,6200020906,M_25th,GW04,AVANCER PRIME 1.2MM RIOBLACK,AVRPRIME48RBL,16,0
,W001,6200020906,M_25th,GW05,AVANCER PRIME 1.2MM RIOBLACK,AVRPRIME48RBL,10,0
,W001,6200020931,M_25th,GS07,"AXIAL AIR 100 MM (4"") FAN IVY",AXIALAIR4IVY,80,0
,W001,6200020928,M_15th,GS07,"AXIAL AIR 100 MM (4"") FAN IVY",AXIALAIR4IVY,20,0
,W001,6200020931,M_25th,GS05,"AXIAL AIR 100 MM (4"") FAN WHITE",AXIALAIR4WHT,40,40
,W001,6200020931,M_25th,GN05,"AXIAL AIR 100 MM (4"") FAN WHITE",AXIALAIR4WHT,20,40
,W001,6200020931,M_25th,GN06,"AXIAL AIR 100 MM (4"") FAN WHITE",AXIALAIR4WHT,40,40
,W001,6200020931,M_25th,GW02,"AXIAL AIR 100 MM (4"") FAN WHITE",AXIALAIR4WHT,40,40
,W001,6200020931,M_25th,GS07,"AXIAL AIR 100 MM (4"") FAN WHITE",AXIALAIR4WHT,120,40
,W001,6200020928,M_15th,GN06,"AXIAL AIR 100 MM (4"") FAN WHITE",AXIALAIR4WHT,60,40
,W001,6200020928,M_15th,GS05,"AXIAL AIR 100 MM (4"") FAN WHITE",AXIALAIR4WHT,60,40
,W001,6200020928,M_15th,GN05,"AXIAL AIR 100 MM (4"") FAN WHITE",AXIALAIR4WHT,40,40
,W001,6200020928,M_15th,GS07,"AXIAL AIR 100 MM (4"") FAN WHITE",AXIALAIR4WHT,180,40
,W001,6200020832,M_15th,GE01,"AXIAL AIR 150 MM (6"") FAN IVY",AXIALAIR6IVY,7,200
,W001,6200021058,M+1_7th,GN05,"AXIAL AIR 150 MM (6"") FAN IVY",AXIALAIR6IVY,13,200
,W001,6200021058,M+1_7th,GE05,"AXIAL AIR 150 MM (6"") FAN IVY",AXIALAIR6IVY,40,200
,W001,6200021058,M+1_7th,GW02,"AXIAL AIR 150 MM (6"") FAN IVY",AXIALAIR6IVY,120,200
,W001,6200021058,M+1_7th,GW03,"AXIAL AIR 150 MM (6"") FAN IVY",AXIALAIR6IVY,80,200
,W001,6200021072,M_15th,GS02,"AXIAL AIR 150 MM (6"") FAN IVY",AXIALAIR6IVY,100,200
,W001,6200020931,M_25th,GN02,"AXIAL AIR 150 MM (6"") FAN WHITE",AXIALAIR6WHTN,4,440
,W001,6200020931,M_25th,GE04,"AXIAL AIR 150 MM (6"") FAN WHITE",AXIALAIR6WHTN,20,440
,W001,6200020931,M_25th,GW01,"BRISK AIR HIGH SPEED 150 MM (6"") FAN BLK",BRISKAIR6HSBLKN,72,0
,W001,6200020928,M_15th,GW01,"BRISK AIR HIGH SPEED 150 MM (6"") FAN BLK",BRISKAIR6HSBLKN,104,0
,W001,6200020928,M_15th,GE04,"BRISK AIR HIGH SPEED 150 MM (6"") FAN BLK",BRISKAIR6HSBLKN,24,0
,W001,6200020931,M_25th,GE04,"BRISK AIR HIGH SPEED 150 MM (6"") FAN BLK",BRISKAIR6HSBLKN,16,0
,W001,6200020931,M_25th,GW01,"BRISK AIR HIGH SPEED 150 MM (6"") FAN BRN",BRISKAIR6HSBRNN,72,0
,W001,6200020928,M_15th,GW01,"BRISK AIR HIGH SPEED 150 MM (6"") FAN BRN",BRISKAIR6HSBRNN,104,0
,W001,6200020931,M_25th,GS01,"BRISK AIR HIGH SPEED 150 MM (6"") FAN WHT",BRISKAIR6HSWHTN,40,16
,W001,6200020931,M_25th,GW02,"BRISK AIR HIGH SPEED 150 MM (6"") FAN WHT",BRISKAIR6HSWHTN,24,16
,W001,6200020931,M_25th,GW01,"BRISK AIR HIGH SPEED 150 MM (6"") FAN WHT",BRISKAIR6HSWHTN,32,16
,W001,6200020928,M_15th,GS01,"BRISK AIR HIGH SPEED 150 MM (6"") FAN WHT",BRISKAIR6HSWHTN,64,16
,W001,6200020928,M_15th,GW02,"BRISK AIR HIGH SPEED 150 MM (6"") FAN WHT",BRISKAIR6HSWHTN,32,16
,W001,6200020928,M_15th,GW01,"BRISK AIR HIGH SPEED 150 MM (6"") FAN WHT",BRISKAIR6HSWHTN,48,16
,W001,6200021072,M_15th,GW01,"BRISK AIR HIGH SPEED 150 MM (6"") FAN WHT",BRISKAIR6HSWHTN,16,16
,W001,6200020928,M_15th,GE04,"BRISK AIR HIGH SPEED 200 MM (8"") FAN BLK",BRISKAIR8HSBLKN,16,0
,W001,6200020931,M_25th,GE04,"BRISK AIR HIGH SPEED 200 MM (8"") FAN BLK",BRISKAIR8HSBLKN,8,0
,W001,6200020931,M_25th,GS06,"BRISK AIR HIGH SPEED 200 MM (8"") FAN IVY",BRISKAIR8HSIVYN,40,0
