,Material,STPO_Cut_Off,Key,Kolkata_STPO,GUWAHATI_STPO,Ranchi_STPO,Patna_STPO,Cuttack_STPO,Delhi_STPO,Ghaziabad_STPO,Chandigarh_STPO,LUCKNOW_STPO,Jalandhar_STPO,Jaipur_STPO,Chennai_STPO,Coimbatore_STPO,Madurai_STPO,Bangalore_STPO,SECUNDERABAD_STPO,Vijayawada_STPO,Cochin_STPO,Bhiwandi_STPO,AHMEDABAD_STPO,Pune_STPO,Indore_STPO,Nagpur_STPO,RAIPUR_STPO,GW07_STPO
280,S-90000531,M_15th,S-90000531_M_15th,,,,,,,,,,,,,,,,,12.0,,,,,,,,
281,S-90000579,M_15th,S-90000579_M_15th,,,,,,888.0,828.0,,,,,,,,,,,,,,,,,12.0,
282,S-90000601,M_15th,S-90000601_M_15th,,,,,,,,,,,,,,,,2.0,,,,,,,,,
283,S-90000604,M_15th,S-90000604_M_15th,,,,,,,,,,,,5.0,15.0,,,,20.0,,,,,,,,
284,S-90000611,M_15th,S-90000611_M_15th,,,,,,,,,,,,,,,,,,,,,,,2.0,,
285,S-90000612,M_15th,S-90000612_M_15th,,,,,,,,,,,,,,,,,12.0,,,,,,,,
286,S-90000614,M_15th,S-90000614_M_15th,,,,,,,,,,,,,4.0,,,,,,,,,,,,
287,S-90000615,M_15th,S-90000615_M_15th,,,,,,,,,,,,5.0,15.0,,,,,,,,,,,,
288,S-90000666,M_15th,S-90000666_M_15th,,,,,,,,,,,,,,,,,,,50.0,,,,,,
289,S-90000667,M_15th,S-90000667_M_15th,,,,,,,,,,,,,,,,,,,50.0,,,,,,
290,S-90000672,M_15th,S-90000672_M_15th,,,,,,,,,,,,,,,,,,,172.0,,,,,,
291,S-90000680,M_15th,S-90000680_M_15th,100.0,,,,,,,,,,,,40.0,,,,,,50.0,,,,,,50.0
292,S-90000681,M_15th,S-90000681_M_15th,100.0,,,,,,,,,,,,,,,,,,50.0,,,,,,
293,S-90000682,M_15th,S-90000682_M_15th,,,,,,,3.0,,,,,,,,,,,,550.0,,,,,,
294,S-90000685,M_15th,S-90000685_M_15th,,,,,,,,,,,,10.0,,,,,,,,,,,,,
295,S-90000687,M_15th,S-90000687_M_15th,,,,,,15.0,,,,,,,,,,,,,30.0,,,,,,
296,S-90000688,M_15th,S-90000688_M_15th,,,,,,,,,,,,,,,,,,,50.0,,,,,,50.0
297,S-90000689,M_15th,S-90000689_M_15th,,,,,2.0,150.0,,,,,,,,,,,,,,,,,,,
298,S-90000691,M_15th,S-90000691_M_15th,,,,,,,,,,,,,,,,,,,50.0,,,,,,
299,S-90000693,M_15th,S-90000693_M_15th,,,,,,,,,,,,,,,,,,,70.0,,,,,,
300,S-90000694,M_15th,S-90000694_M_15th,,,,,70.0,,,,,,,,,,,,,,100.0,,,,,,
301,S-90000696,M_15th,S-90000696_M_15th,,,,,,20.0,,,,,,,,,,,,,60.0,,,,,,
302,S-90000697,M_15th,S-90000697_M_15th,,,,,,30.0,,,,,,,,,,,,,,,,,,,
303,S-90000698,M_15th,S-90000698_M_15th,,,,,,50.0,,,,,,,,,,,,,70.0,,,,,,
304,S-90000700,M_15th,S-90000700_M_15th,,,,,,,,,,,,,,,,,,,100.0,,,,,,
305,S-90000708,M_15th,S-90000708_M_15th,,,,,,,3.0,,,,,,,,,,,,,,,,,,
306,S-90000710,M_15th,S-90000710_M_15th,,,,,,30.0,3.0,,,,,,38.0,,,,,,150.0,,,,,,
307,S-90000711,M_15th,S-90000711_M_15th,,,,50.0,,,,,,,,,,,,,,,,,,,,,
308,S-90000714,M_15th,S-90000714_M_15th,,,,,5.0,,6.0,,,,,,40.0,,,,,,130.0,,,,,,
309,S-90000757,M_15th,S-90000757_M_15th,20.0,,,30.0,10.0,,,,,,,,,,,,,,,,,,,,
310,S-90000763,M_15th,S-90000763_M_15th,,,,,,,,,,,,,10.0,,,,,,,,,,,,
