Material,STPO_Cut_Off,GE01,GE02,GE03,GE04,GE05,GN01,GN02,GN03,GN04,GN05,GN06,GS01,GS02,GS03,GS04,GS05,GS06,GS07,GW01,GW02,GW03,GW04,GW05,GW06,GW07
EXHD300-6-1,M_25th,,,,,,86.0,7.0,8.0,69.0,27.0,37.0,,,,15.0,,,,10.0,,,15.0,,,
EXHD380-4-1,M_25th,,,,,,,,52.0,,,75.0,,12.0,12.0,47.0,10.0,4.0,33.0,126.0,136.0,,33.0,194.0,,
EXHD380-4-3,M_15th,,,,,,,,,,,,,,,,,,,,25.0,,,,,
EXHD380-4-3,M_25th,,,,,,,,,,,,,,,,,,,10.0,24.0,,,,,
EXHD380-6-1,M_25th,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,
EXHD450-4-1,M_15th,,,,,,,,1362.0,,,,,,,,,,,,,,331.0,,,
EXHD450-4-1,M_25th,,,,18.0,11.0,1021.0,284.0,194.0,107.0,210.0,284.0,,24.0,20.0,68.0,,42.0,42.0,155.0,190.0,26.0,909.0,,,
EXHD450-4-3,M_15th,,,,,,,,,,,,,,,,,,,44.0,59.0,,,,,
EXHD450-4-3,M_25th,,,,,,,,,,,,,,,,,,,30.0,39.0,,,,,
EXHD450-6-1,M_15th,,,,,,21.0,13.0,54.0,85.0,,35.0,,,,,,,,,,,,21.0,7.0,
EXHD450-6-1,M_25th,,,,,,14.0,9.0,38.0,57.0,,23.0,,,,,,,,,,,,20.0,25.0,
EXHD600-6-1,M_15th,15.0,,,,,340.0,160.0,72.0,39.0,143.0,107.0,,,,,,,,4.0,59.0,,57.0,,,
EXHD600-6-1,M_25th,10.0,12.0,,,,227.0,120.0,49.0,57.0,142.0,71.0,,,,,,,,39.0,39.0,,39.0,19.0,11.0,
EXHD600-6-3,M_15th,,,,,,,,15.0,,,,,,,,,,,24.0,,,,,9.0,
EXHD600-6-3,M_25th,,,,,,,,16.0,,,,,,,,,,,39.0,,,,,15.0,
EXHD900-8-3,M_15th,,,,,,,,,,,,,,,,,,,,,,,15.0,5.0,
EXHD900-8-3,M_25th,,,,,,,,,,,,,,,,,,,,,,,10.0,15.0,
FLUXAIR9OPW,M_15th,300.0,152.0,16.0,,,,,,,,,,,,,,,,,,,,,,
FLUXAIR9OPW,M_25th,200.0,156.0,40.0,,40.0,,,,,,,,336.0,,72.0,104.0,,,,,,,,,
FLY48EMBER,M_15th,,,,,,,,,,,,,,12.0,,,,,,,,,,,
FLY48EMBER,M_25th,48.0,,,,,,,16.0,28.0,,,,,28.0,,20.0,44.0,,,,,,,,
FLY48SWT,M_15th,,,,,,,,,,,,,,,,44.0,,,,,,,,,
FLY48SWT,M_25th,,,,,,,,,,,,,,,10.0,48.0,,,,6.0,,,,,
HLB48BRN,M+1_7th,,,,,,,,,,,,,,,76.0,84.0,,,,,,,,,
HLB48OPW,M_15th,,,,,,,,4.0,,,,,,,,,,,,,,,,,
HLB48OPW,M_25th,,,,,,4.0,,,,,,,,,,,,,,,,,,,
HS36BRN,M_15th,364.0,,,,,,,,,,,,128.0,308.0,,,192.0,288.0,,,,,,,
HS36BRN,M_25th,,,,,,,,,,,,,20.0,148.0,56.0,,76.0,,,,,,,,
HS36IVY,M_25th,,,,,20.0,,,,,,,,,,,16.0,,,,,,,24.0,,
HS36OPW,M_25th,100.0,,,,,68.0,,44.0,,,,,,,,,,,,,,12.0,24.0,8.0,
HS42OPW,M_15th,48.0,,,,,,,,,,,,,40.0,,,,,80.0,124.0,56.0,16.0,,,
HS42OPW,M_25th,32.0,,,,,,,,,,,60.0,,28.0,,,,24.0,176.0,84.0,44.0,12.0,,,
HS48BRN,M_15th,,,68.0,204.0,,,,,,36.0,,,600.0,,,,,,,,,,,,
HS48DBN,M_15th,,,,,,,4.0,,,,,,,,,,,,,,,,,,
HS48IVY,M_15th,,,,,,,,,,,,,424.0,120.0,,,,,,,,,,,
HS48IVY,M_25th,,,,,,44.0,,,,,,,,,,,,,,,,,,,
HS48OPW,M_15th,,,,,36.0,,,,,,688.0,,,,,,,,140.0,,,,,,
HS48OPW,M_25th,,,,16.0,120.0,,,,,4.0,528.0,,,,,,,,600.0,,,,,,
HS56BRN,M_15th,60.0,,24.0,,,,,,,,,,,,,,,,,,,,,,
HS56BRN,M_25th,200.0,4.0,,,,,36.0,,,,,,,,,,,,,,,12.0,,,
HS56OPW,M_15th,,8.0,,,,,,,,,,,,,,92.0,,,,,,,,,
HS56OPW,M_25th,200.0,12.0,,,,,,,,,,,,,,4.0,,,,,,,,,
HSDCPRM48AGD,M_15th,,,,,,,,,,,,280.0,264.0,88.0,,,,,,,,,,,
HSDCPRM48GGD,M_15th,132.0,,,,,,,,,,,,,,,,,,,,,,,,
HSDCPRM48GGD,M_25th,120.0,,,,,,,,,,,,,,,,,,,,,,,,
HSDCR48BRN,M_15th,,,24.0,,,,,,,,,,,,,,,,,,,,,,
HSDCR48BRN,M_25th,,,,24.0,20.0,,,,,,,168.0,100.0,120.0,,68.0,16.0,,,,,,,,
HSDCR48IVY,M_15th,,,,,,,,,,,,,196.0,,,,,,,,,,,,
HSDCR48IVY,M_25th,,,,,,,,,,,,104.0,184.0,96.0,192.0,,,,,20.0,20.0,,,,
HSPLUS48BRN,M_15th,,,,16.0,,,,,,,,,,,,,,,,,,,,,
HSPLUS48BRN,M_25th,,,,16.0,,40.0,,16.0,44.0,,220.0,,4.0,,,,,,,1076.0,,20.0,,,
HSPLUS48OPW,M_15th,36.0,,,16.0,,140.0,,16.0,,,216.0,,,,,,,,,,,16.0,,,
HSPLUS48OPW,M_25th,160.0,,,12.0,60.0,264.0,,12.0,44.0,,220.0,,184.0,20.0,,60.0,,,,680.0,,12.0,16.0,,
JUPITER48BRASS,M_15th,,,,,,,,,,,,,10.0,,,,,,,,,,,,
JUPITER48BRASS,M_25th,,,,,,,,,12.0,,,,,,,,,,,,,,,,
JURA48BBR,M_15th,,,,,,,,60.0,,,,,,,,,,,,,,,,,
JURA48PSWT,M_15th,,,,,,,,64.0,,,,,,,,,,,,,,,,,
LRN48HGD,M_15th,60.0,12.0,,,,,,,,,16.0,,,,,36.0,,,20.0,24.0,,,,,
LRN48HGD,M_25th,40.0,8.0,,,,,,,,,12.0,,,,,24.0,,,12.0,16.0,,,,,
MOUNTAIR6WHT,M_15th,,,,,,,,,,,,,200.0,,,,,,,,,,,,
NEBULA48ANB,M_15th,,,,,,9.0,,44.0,,,20.0,,10.0,,,,,,,,,,,,
NEBULA48ANB,M_25th,,,,,,20.0,,29.0,12.0,8.0,,,,,48.0,34.0,12.0,,,,,,,,
NEOBRZ48BRN,M_15th,,,,,,,2000.0,500.0,1276.0,,,,,,,,,,,,,,,,
NEOBRZ48BRN,M_25th,,,,,480.0,72.0,976.0,384.0,6296.0,232.0,316.0,,,,,,,,,,,,,,
NEOBRZ48IVY,M_15th,,,,,36.0,,688.0,,576.0,,344.0,,,,,,,,,,,,,,
NEOBRZ48IVY,M_25th,,,,,160.0,,192.0,,48.0,,232.0,,,,,,,,,,,,,,
NEOBRZ48OPW,M_15th,,,,,,,,632.0,,,,,,,,,,,,,,,,,
NEOBRZ48OPW,M_25th,,,,,120.0,,,424.0,776.0,,,,,,,,,,,,,,,,
NEOBRZDEC48BRN,M_15th,,,,,20.0,,,,84.0,,,,,,,,,,,,,,,,
NEOBRZDEC48BRN,M_25th,,,,,40.0,,,,80.0,,24.0,,,,,,,,,,,,,,
NEOBRZDEC48IVY,M_15th,,,,,12.0,,,,4.0,,,,,,,,,,,,,,,,
NEOBRZDEC48IVY,M_25th,,,,,40.0,,,,44.0,,32.0,,,,,,,,,,,,,,
PAVAN48IVY,M_15th,,,,,,,,,,,,,,,,,,,,8.0,,,,,
PAVAN48IVY,M_25th,,,,,,,,,,,,,,,,32.0,,,,28.0,,,,,
PAVAN48OPW,M_25th,,,,,,,,,,,,,,,,,,,,36.0,,,,,
PFSTRM2-18BLK,M_15th,,,,,,,,30.0,,,,,,,,,,,,,,,,,
PFWINDFLO16OPW,M+1_7th,160.0,,,,,,,,,,,,,,,,,,,,,,,,
PFWINDFLO16OPW,M_15th,,1.0,,,,,,,,,,,,,,,,,,,,,,,
PVNDEC48IVY,M_15th,,,,,,,,,,,20.0,,,,,,,,,,,,,,
PVNDEC48IVY,M_25th,,,,,,,,,,,16.0,,,,,,,,,,,,44.0,,
PVNDEC48LB,M_15th,,,,,,,,,,,,,,,,,60.0,76.0,,,,,,,
PVNDEC48LB,M_25th,,,,,,,,,,,,,,,,,32.0,80.0,,,,,28.0,,
RIV36OPW,M_25th,,,,,80.0,,12.0,,12.0,,,32.0,,,,,,,,64.0,,,,,
RIV48BNC,M_15th,,44.0,,,,,,,,,,,,,,,,,,,,,,,
RIV48BNC,M_25th,,20.0,,,160.0,,,,,,,,,,,,,,,,,,,,
RIV48BRN,M_15th,,,24.0,96.0,,,,,,,,,,,,,,,,,,,,,
RIV48BRN,M_25th,,,8.0,,,,,,,,,,,,,,,,,,,,,,
RIV48OPW,M_15th,,,20.0,36.0,,,,,,,,,,,,,,,,,,,,,
RIV48OPW,M_25th,,40.0,8.0,,,,,,,,,,,,,,,,,,,,,,
RIV56OPW,M_15th,,,,,,,,52.0,,,,,,,,,,,,,,,,,
RIVDASHHS4BRN,M_15th,,,,,,,,,,,,,,,,,,,2.0,,,,,,
RIVDASHHS4IVY,M_15th,,,,,,,,,,,,,,,,,,,2.0,,,,,,
RIVDASHHS6BRN,M_15th,,,,,,,,,,,,,,,,,,,4.0,,,,,,
RIVDASHHS6IVY,M_15th,,,,,,,,,,,,,,,,,,,59.0,,,,,,
RIVDASHHS6WHT,M_15th,,,,,,,,18.0,,48.0,,,,,126.0,324.0,72.0,294.0,48.0,30.0,,,,,
RIVDASHHS6WHT,M_25th,,,,,,,,42.0,,18.0,,,,,6.0,204.0,48.0,198.0,18.0,24.0,,,,,
RIVSPRINTHS6WHT,M_15th,,,,,,,48.0,48.0,,36.0,18.0,,,,126.0,84.0,,276.0,18.0,30.0,,,,,
RIVSPRINTHS6WHT,M_25th,,,,,,,36.0,36.0,,12.0,12.0,,,,6.0,42.0,,186.0,18.0,24.0,,,,,
S-102001257,M_15th,,,,,,2.0,,,,,,,,,,,,,,,,,,,
S-90000111,M_15th,,,,,,5.0,,,,,,,,,,,,,,,,,,10.0,
S-90000248,M_15th,,,,,30.0,,,,,,,,,,,,,,,,,,,,
S-90000287,M_15th,,,,,,,,,10.0,,,,,,,,,75.0,,,,,,,
S-90000288,M_15th,,,,,,375.0,,,20.0,,,,6.0,,,,,75.0,,,,,,,
S-90000299,M_15th,30.0,,,,,,,,,,,20.0,,10.0,,,,,,,,,,,
S-90000306,M_15th,,,,,,,,,,,,,,,,,,75.0,,,,,,,
S-90000319,M_15th,,,,,,,,,,,,,4.0,,,,,,50.0,,,,,,
S-90000321,M_15th,,,,,,15.0,,,,50.0,,,,,,,,,,,,,,17.0,
S-90000322,M_15th,,,,,,,,,,,,,,,,,,,,,,,,10.0,
S-90000325,M_15th,,,,,,,,,,48.0,,,,,,,,,,,,,,,
S-90000327,M_15th,,,,,,,,,,48.0,,,,,,,,,,,,,,20.0,
S-90000329,M_15th,,,,,,,,,,,,,,,,1.0,,,,,,,,,
S-90000333,M_15th,,,,,,252.0,,,,,,18.0,,,,,,,,,,,,,
S-90000336,M_15th,,,,,,52.0,,,,,,,,,,,,,,,,,,,
S-90000338,M_15th,,,,,,200.0,,,,,,,,,,,,,,,,,,,
S-90000340,M_15th,,,,,,,,,,,,,,,1.0,,,,,,,,,,
S-90000342,M_15th,,,,,,,,,,24.0,,,,,,,,,,,,,,,
S-90000343,M_15th,,,,,,7.0,,,,,,,,,,,,,6.0,,,,,,
S-90000344,M_15th,,,,,,,,,,24.0,,,,,,,,,,,,,,,
S-90000361,M_15th,,,,,,,,,,,,41.0,6.0,,,,,,,,,,,,
S-90000365,M_15th,,,,,,,,,,,,,,,,,,,8.0,,,,,,
S-90000366,M_15th,,,,,,,,,,,,,,,,,,,2.0,,,,,,
S-90000376,M_15th,,,,,,,,,,108.0,,,,,,,,,,,,,,,
S-90000384,M_15th,,,,,,,,,,,,,,,6.0,,,,,,,,,,
S-90000387,M_15th,,,,,,,,,,,,,,,,,,,,,,,,10.0,
S-90000391,M_15th,,,,,,,,,,,,,,,,,,,78.0,,,,,,
S-90000392,M_15th,,,,,,,,,,,,,,,,,,,68.0,,,,,,
S-90000400,M_15th,,,,,,,,,,,,,,,,,,,,,,,,15.0,
S-90000402,M_15th,,,,,,10.0,,,,,,,,,,,,,,,,,,25.0,
S-90000406,M_15th,,,,,,,,,,,,,,,2.0,,,,,,,,,,
S-90000407,M_15th,,,,,,4.0,,,,,,,,,,,,,,,,,,,
S-90000408,M_15th,,,,,,,,,,,,,,,,,,,26.0,,,,,,
S-90000409,M_15th,,,,,,1.0,,,,,,,,,,,,,,,,,,,
S-90000410,M_15th,,,,,,7.0,,,,,,,,,,,,,,,,,,,
